,Artist Name,Track Name,ms Played,Listen Count,Key,Tempo,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence,Liked
0,Violet Orlandi,Beggin' - Metal Cover,103474,36,2,133.946,0.541,0.91,-6.651,0.0963,0.0631,0.112,0.279,True
1,Grouplove,Colours,257786,48,6,93.933,0.529,0.83,-5.428,0.0397,0.0211,0.0983,0.318,True
2,Dream State,Crawling,212240,31,3,104.991,0.521,0.506,-8.599,0.0299,0.184,0.109,0.215,False
3,DON BROCO,Technology,216533,4,10,116.84,0.668,0.718,-5.53,0.142,0.0106,0.0588,0.83,False
4,Alec Benjamin,Boy In The Bubble,181705,55,11,143.982,0.817,0.578,-7.579,0.0824,0.224,0.251,0.851,True
5,VIOLET NIGHT,hate me,166971,1,9,199.918,0.332,0.977,-4.444,0.102,8.27e-05,0.0679,0.322,False
6,Tones And I,Dance Monkey,209438,12,6,98.027,0.824,0.588,-6.4,0.0924,0.692,0.149,0.513,False
7,MC 900 Ft. Jesus,The City Sleeps,330533,39,11,87.548,0.825,0.388,-10.957,0.188,0.063,0.317,0.46,False
8,You Me At Six,Our House (The Mess We Made),220528,52,0,133.017,0.633,0.766,-6.696,0.0445,0.00791,0.253,0.394,True
9,Jesse,Bloom Later,160306,4,0,81.923,0.513,0.318,-10.451,0.0314,0.796,0.177,0.249,False
10,Black Veil Brides,Scarlet Cross - Acoustic,201000,29,10,119.466,0.647,0.753,-5.859,0.0375,0.316,0.513,0.698,True
11,Ché Aimee Dorval,The Widow,214857,4,4,139.138,0.296,0.596,-8.874,0.0384,0.00036,0.702,0.216,False
12,The Arcs,Chains of Love,191213,1,9,105.874,0.656,0.602,-8.11,0.0301,0.111,0.112,0.721,False
13,Sam Tsui,This Promise,298016,2,7,120.989,0.51,0.701,-5.47,0.0577,0.466,0.168,0.135,False
14,To Whom It May,Calculate,218600,5,10,88.031,0.512,0.957,-4.567,0.105,0.000134,0.296,0.345,False
15,Saint Slumber,it's okay to be afraid,202880,7,7,143.959,0.547,0.387,-9.46,0.032,0.492,0.481,0.212,False
16,Incubus,Dig,257253,48,11,77.577,0.45,0.895,-4.739,0.0386,0.0293,0.116,0.463,False
17,Jada Facer,Mr. Brightside,207261,2,2,137.981,0.616,0.408,-8.301,0.0296,0.815,0.141,0.339,False
18,Violet Orlandi,The Vengeful One - Cover,315899,2,11,139.965,0.533,0.42,-11.452,0.0288,0.658,0.104,0.215,False
19,Pitbull,Timber (feat. Ke$ha),204160,44,11,129.992,0.581,0.963,-4.087,0.0981,0.0295,0.139,0.788,False
20,Halsey,Nightmare,231998,87,9,146.11,0.611,0.622,-5.075,0.0734,0.0188,0.359,0.538,True
21,Blind Melon,Change,221866,3,2,77.525,0.433,0.46,-10.441,0.0343,0.606,0.175,0.536,False
22,Lewis Del Mar,Live That Long,320784,73,2,152.023,0.613,0.531,-9.172,0.0338,0.144,0.801,0.338,True
23,Oh Hiroshima,Ellipse,241226,3,4,167.887,0.174,0.793,-6.5,0.0469,0.000356,0.205,0.0421,False
24,System Of A Down,Aerials,235053,15,0,79.342,0.364,0.922,-4.217,0.0567,0.000915,0.0697,0.227,False
25,Fuel,Hemorrhage (In My Hands),236866,153,1,152.017,0.301,0.823,-4.072,0.0433,0.000144,0.0833,0.372,True
26,Haruka Tomatsu,Resolution,290233,6,7,97.603,0.525,0.981,-1.278,0.136,0.15,0.401,0.498,False
27,Limp Bizkit,Take A Look Around,321040,50,11,101.968,0.425,0.852,-5.607,0.046,0.0175,0.0935,0.512,False
28,Ruelle,I Get to Love You,120010,12,2,153.298,0.335,0.251,-6.225,0.0317,0.924,0.111,0.0863,False
29,Fifth Dawn,Defying Symmetry,237971,68,7,89.98,0.451,0.932,-4.545,0.0404,0.000575,0.302,0.38,True
30,Blind Pilot,Half Moon,208053,22,7,150.84,0.54,0.535,-8.909,0.0315,0.164,0.104,0.471,True
31,The Griswolds,Out Of My Head,129124,1,1,106.94,0.51,0.83,-3.179,0.0473,0.00103,0.371,0.461,False
32,Rex Orange County,10/10,146102,1,10,187.783,0.487,0.909,-4.091,0.102,0.301,0.0803,0.293,False
33,Lily Kershaw,Ashes Like Snow,203893,57,11,78.99,0.366,0.143,-12.969,0.0377,0.964,0.103,0.172,True
34,Modest Mouse,Lampshades on Fire,187720,94,7,94.997,0.659,0.906,-3.906,0.0428,0.156,0.105,0.792,True
35,Christina Rotondo,Royal Beggars,80508,40,11,177.7,0.254,0.224,-13.206,0.0353,0.723,0.356,0.0817,True
36,The Glorious Sons,Panic Attack,188974,11,8,151.931,0.457,0.955,-2.869,0.0568,0.00081,0.152,0.609,False
37,Sick Puppies,You're Going Down,187346,154,6,90.003,0.488,0.842,-5.926,0.0469,0.0116,0.146,0.41,True
38,VERIDIA,We Are the Brave,215560,10,7,128.014,0.469,0.843,-3.491,0.0396,8.86e-05,0.293,0.157,False
39,Glass Tides,Wake Me Up,337154,18,6,136.973,0.458,0.904,-4.037,0.0367,5.81e-05,0.303,0.517,True
40,Skraeckoedlan,Creature of Doggerland,493133,31,4,127.026,0.241,0.888,-6.504,0.08,4.35e-06,0.18,0.122,True
41,Bebe Rexha,I'm Gonna Show You Crazy,207775,11,2,90.103,0.474,0.537,-6.77,0.0649,0.0758,0.316,0.335,False
42,Calvin Harris,Promises (with Sam Smith),213309,5,11,123.07,0.781,0.768,-5.991,0.0394,0.0119,0.325,0.486,False
43,Tall Heights,Spirit Cold,222293,8,11,155.858,0.411,0.662,-6.158,0.032,0.211,0.176,0.356,False
44,Mike Posner,Cooler Than Me - Single Mix,213293,56,7,129.965,0.768,0.82,-4.63,0.0474,0.179,0.689,0.625,False
45,J2,Can't Get You out of My Head (Epic Stripped Version),133259,73,11,84.983,0.263,0.201,-11.872,0.0308,0.471,0.106,0.0374,True
46,Blood Command,I Just Want That Movie Ending,270225,57,9,143.106,0.425,0.85,-4.697,0.0416,1.02e-05,0.116,0.292,True
47,Bruno Mars,Locked out of Heaven,233478,37,5,143.994,0.726,0.698,-4.165,0.0431,0.049,0.309,0.867,False
48,Black Smoke Trigger,Only Human,38437,5,6,110.941,0.509,0.876,-4.899,0.0375,0.000501,0.314,0.402,False
49,Fifth Dawn,High Towers,252925,87,2,129.948,0.433,0.794,-4.468,0.0356,0.00151,0.363,0.445,True
50,Pop Evil,Survivor,242424,28,2,90.046,0.606,0.749,-5.983,0.0289,0.00271,0.0609,0.408,True
51,First to Eleven,Swan Song,183850,37,5,187.007,0.396,0.904,-8.006,0.042,6.87e-05,0.172,0.436,False
52,Saviour,Never Sleep,285625,2,0,135.069,0.501,0.948,-4.969,0.0731,0.0294,0.241,0.271,False
